phylum_group,count,probability,null_probability,likelihood_ratio,enriched
Bacillota,1019,0.5185865384615385,0.242,2.1429195804195804,True
Nitrospinota,10,0.5,0.001,500.0,True
Zixibacteria,385,0.4114361702127659,0.001,411.4361702127659,True
Pseudomonadota,504,0.39,0.359,1.0863509749303621,True
Nitrospirota,89,0.37083333333333335,0.006,61.80555555555556,True
Actinomycetota,382,0.3692307692307692,0.034,10.859728506787329,True
Bacteroidota,530,0.3569735099337748,0.131,2.7249886254486624,True
Campylobacterota,38,0.34600000000000003,0.007,49.42857142857143,True
Planctomycetota,144,0.3364418604651163,0.003,112.14728682170544,True
Patescibacteria,51,0.3277777777777778,0.02,16.38888888888889,True
Elusimicrobiota,6,0.3,0.001,300.0,True
Desulfobacterota,142,0.29957142857142854,0.04,7.489285714285714,True
Thermotogota,133,0.2872340425531915,0.001,287.2340425531915,True
Spirochaetota,65,0.2826086956521739,0.014,20.186335403726705,True
KSB1,8,0.26666666666666666,0.001,266.6666666666667,True
Chloroflexota,152,0.24784375,0.029,8.546336206896552,True
Myxococcota,78,0.23320000000000002,0.016,14.575000000000001,True
Marinisomatota,72,0.22408333333333333,0.003,74.69444444444444,True
Fusobacteriota,11,0.22000000000000003,0.001,220.00000000000003,True
Cyanobacteriota,45,0.21903571428571428,0.029,7.55295566502463,True
Eremiobacterota,4,0.211,0.001,211.0,True
Synergistota,4,0.211,0.001,211.0,True
Acidobacteriota,146,0.20833333333333334,0.016,13.020833333333334,True
Gemmatimonadota,63,0.19090909090909092,0.004,47.72727272727273,True
Verrucomicrobiota,5,0.18325000000000002,0.003,61.08333333333334,True
Aquificota,32,0.16842105263157894,0.001,168.42105263157893,True
CSP1-3,6,0.15000000000000002,0.001,150.00000000000003,True
Calditrichota,18,0.15,0.001,150.0,True
Bdellovibrionota,13,0.14444444444444446,0.005,28.888888888888893,True
Methylomirabilota,7,0.13999999999999999,0.001,139.99999999999997,True
Krumholzibacteriota,6,0.12000000000000002,0.001,120.00000000000001,True
Deinococcota,18,0.12000000000000001,0.002,60.0,True
Armatimonadota,40,0.1111111111111111,0.003,37.03703703703703,True
Dormibacterota,1,0.1,0.001,100.0,True
Eisenbacteria,1,0.1,0.001,100.0,True
Fibrobacterota,2,0.1,0.001,100.0,True
Hydrogenedentota,1,0.1,0.001,100.0,True
Latescibacterota,2,0.1,0.001,100.0,True
Riflebacteria,2,0.1,0.001,100.0,True
SAR324,1,0.1,0.001,100.0,True
UBA10199,2,0.1,0.001,100.0,True
